 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  22. 2.2022    Time:  17:34:13
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.2725E-04  0.7677E-01
   2    -3.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.2725E-04  0.7677E-01
   3    -6.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.2725E-04  0.7677E-01
   4    -9.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.9600E-04      -1  -0.111E+00   20.00  0.2725E-04  0.7677E-01
   5   -12.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.9600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
   6   -15.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.9600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
   7   -18.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.9600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
   8   -21.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.9600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
   9   -24.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.9600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  10   -27.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.9600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  11   -30.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.9600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  12   -33.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.9600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  13   -36.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.8800E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  14   -39.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.8000E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  15   -42.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.7200E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  16   -45.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.6400E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  17   -48.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.5600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  18   -51.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.4800E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  19   -54.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.4000E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  20   -57.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.3200E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  21   -60.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.2400E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  22   -63.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.1600E-04      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  23   -66.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.8000E-05      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  24   -69.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  25   -72.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  26   -75.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  27   -78.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  28   -81.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  29   -84.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  30   -87.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  31   -90.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  32   -93.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  33   -96.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  34   -99.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  35  -102.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  36  -105.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  37  -108.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  38  -111.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  39  -114.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  40  -117.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  41  -120.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  42  -123.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  43  -126.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  44  -129.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  45  -132.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  46  -135.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  47  -138.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  48  -141.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  49  -144.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  50  -147.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  51  -150.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  52  -153.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  53  -156.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  54  -159.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  55  -162.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  56  -165.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  57  -168.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  58  -171.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  59  -174.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  60  -177.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  61  -180.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  62  -183.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  63  -186.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  64  -189.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  65  -192.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  66  -195.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  67  -198.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  68  -201.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
  69  -204.0000    -100.000 0.3307   0.4835E+01  0.4943E-03 -0.4835E+01  0.0000E+00      -1  -0.111E+00   20.00  0.1792E-04  0.6986E-01
